"WHEAT-SRW - CHICAGO BOARD OF TRADE",230815,2023-08-15,001602,CBT ,00,001 ,  374839,   54118,   90839,   75056,    4422,    8341,   56429,  130864,   67790,   53927,   11367,   23877,  339538,  337500,   35301,   37339,  339100,   48995,   80460,   67627,    5488,    6433,   51659,  125642,   60087,   56240,   13115,   15562,  306603,  306787,   32497,   32313,   35739,    5123,   10379,    9283,     788,      54,   10186,   10638,    2287,    2913,    3478,    3089,   32935,   30713,    2804,    5026,   30857,    6462,    -132,     280,   -1461,    3666,    -983,   11307,   11109,    5436,    2227,    2534,   28504,   29250,    2353,    1607,  100.0,   14.4,   24.2,   20.0,    1.2,    2.2,   15.1,   34.9,   18.1,   14.4,    3.0,    6.4,   90.6,   90.0,    9.4,   10.0,  100.0,   14.4,   23.7,   19.9,    1.6,    1.9,   15.2,   37.1,   17.7,   16.6,    3.9,    4.6,   90.4,   90.5,    9.6,    9.5,  100.0,   14.3,   29.0,   26.0,    2.2,    0.2,   28.5,   29.8,    6.4,    8.2,    9.7,    8.6,   92.2,   85.9,    7.8,   14.1,    353,     75,     80,     24,      5,     16,     42,     80,     63,     56,     33,     36,    270,    254,    350,     71,     77,     23,      6,     14,     43,     79,     60,     60,     33,     31,    261,    244,    140,     23,     54,     13,      7,.,     13,     13,      7,      9,     19,     16,     75,    102,    12.3,    13.0,    21.6,    23.1,    11.4,    10.8,    18.7,    16.5,    12.6,    13.8,    22.6,    24.4,    11.9,    11.8,    19.3,    18.6,    29.8,    28.3,    44.6,    45.2,    29.8,    26.6,    42.0,    39.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-HRW - CHICAGO BOARD OF TRADE",230815,2023-08-15,001612,CBT ,00,001 ,  185974,   30383,   59198,   37454,    2451,    8657,   37809,   37630,   31796,   12006,   14086,    9091,  167196,  162909,   18778,   23065,  176995,   27938,   57110,   36061,    1919,    8554,   39017,   37897,   27715,   11744,   14239,    8357,  159386,  155791,   17609,   21204,    8979,    2445,    2088,    1496,     635,       0,    2748,    3689,     125,     555,     140,     441,    7810,    7118,    1169,    1861,    2932,    2912,   -3385,    -238,     -78,     360,   -1697,    3287,     118,     619,      31,     529,    2603,     862,     329,    2070,  100.0,   16.3,   31.8,   20.1,    1.3,    4.7,   20.3,   20.2,   17.1,    6.5,    7.6,    4.9,   89.9,   87.6,   10.1,   12.4,  100.0,   15.8,   32.3,   20.4,    1.1,    4.8,   22.0,   21.4,   15.7,    6.6,    8.0,    4.7,   90.1,   88.0,    9.9,   12.0,  100.0,   27.2,   23.3,   16.7,    7.1,    0.0,   30.6,   41.1,    1.4,    6.2,    1.6,    4.9,   87.0,   79.3,   13.0,   20.7,    211,     52,     60,     19,      6,     12,     37,     32,     39,     20,     15,     24,    166,    158,    210,     51,     59,     19,      6,     11,     36,     34,     38,     19,     17,     23,    162,    156,     85,     13,     32,      8,      6,      0,     10,      7,.,      7,      7,      5,     41,     56,    19.1,    19.8,    29.9,    30.1,    13.7,    16.7,    21.6,    24.5,    19.7,    20.8,    30.8,    31.6,    15.5,    17.6,    23.8,    25.9,    33.4,    43.5,    52.2,    57.1,    33.3,    43.5,    48.0,    53.9,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 ","A10","FutOnly"
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",230815,2023-08-15,001626,MGE ,00,001 ,   53888,   29100,   30938,    1035,     297,     153,    6310,    7818,    3028,    4325,     806,     486,   44437,   43526,    9451,   10362,   53321,   28630,   30654,    1036,     297,     152,    6310,    7836,    3010,    4342,     780,     469,   43949,   43198,    9372,   10123,     567,     470,     284,       0,       1,       0,      18,       0,       0,       0,      43,       0,     488,     328,      79,     239,    2640,    4334,   -1245,      61,      45,      88,   -2836,    3169,    -388,     655,    -131,      80,    1994,    1618,     646,    1022,  100.0,   54.0,   57.4,    1.9,    0.6,    0.3,   11.7,   14.5,    5.6,    8.0,    1.5,    0.9,   82.5,   80.8,   17.5,   19.2,  100.0,   53.7,   57.5,    1.9,    0.6,    0.3,   11.8,   14.7,    5.6,    8.1,    1.5,    0.9,   82.4,   81.0,   17.6,   19.0,  100.0,   82.9,   50.1,    0.0,    0.2,    0.0,    3.2,    0.0,    0.0,    0.0,    7.6,    0.0,   86.1,   57.8,   13.9,   42.2,    103,     52,     40,      4,.,.,      9,     13,     12,     11,.,      5,     87,     69,    103,     52,     40,      4,.,.,      9,     14,     12,     11,.,      5,     87,     68,     28,      9,     14,      0,.,      0,.,      0,      0,      0,      4,      0,     11,     19,    17.2,    25.0,    28.6,    40.0,    16.1,    24.5,    25.6,    36.9,    17.4,    25.1,    28.7,    40.3,    16.2,    24.7,    25.9,    37.6,    73.2,    37.0,    84.0,    47.6,    64.6,    26.5,    71.1,    35.8,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 ","A10","FutOnly"
"CORN - CHICAGO BOARD OF TRADE",230815,2023-08-15,002602,CBT ,00,002 , 1287019,  414403,  534859,  206613,   12983,   16881,  168408,  255032,  157527,  109129,   49471,   84267, 1157228, 1111020,  129791,  175999,  229833,   96334,  109128,   20695,    6325,     768,   35027,   66075,    1962,   46634,   27941,      95,  201515,  212294,   28318,   17539, 1057186,  318069,  425731,  191493,   12233,   10538,  171497,  227073,  117449,  105252,   64287,   41415,  955713,  898726,  101473,  158460,    2586,   15719,  -25128,    2295,   -3238,      -8,  -11666,   41905,    3915,   -1211,   -2089,  -13242,   -4198,    2115,    6784,     471,  100.0,   32.2,   41.6,   16.1,    1.0,    1.3,   13.1,   19.8,   12.2,    8.5,    3.8,    6.5,   89.9,   86.3,   10.1,   13.7,  100.0,   41.9,   47.5,    9.0,    2.8,    0.3,   15.2,   28.7,    0.9,   20.3,   12.2,    0.0,   87.7,   92.4,   12.3,    7.6,  100.0,   30.1,   40.3,   18.1,    1.2,    1.0,   16.2,   21.5,   11.1,   10.0,    6.1,    3.9,   90.4,   85.0,    9.6,   15.0,    705,    309,    300,     24,      9,     22,     60,     72,     78,     60,     69,     85,    568,    547,    478,    189,    160,     15,      9,.,     34,     33,     11,     53,     37,.,    300,    244,    678,    251,    283,     24,      8,     20,     59,     72,     68,     63,     68,     70,    488,    509,    10.7,    11.6,    17.2,    18.7,    10.4,    10.8,    16.9,    15.6,    15.1,    20.3,    25.1,    30.8,    15.1,    20.3,    25.1,    30.3,    12.1,    12.0,    20.0,    18.5,    12.1,    10.9,    19.9,    15.7,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 ","A10","FutOnly"
"OATS - CHICAGO BOARD OF TRADE",230815,2023-08-15,004603,CBT ,00,004 ,    4191,     880,    2561,     131,       0,       0,     527,      72,       0,     324,     143,     188,    2050,    2964,    2141,    1227,    4126,     880,    2561,     131,       0,       0,     527,      72,       0,     387,     143,     125,    2050,    2901,    2076,    1225,      65,       0,       0,       0,       0,       0,       0,       0,       0,       0,      63,       0,       0,      63,      65,       2,    -201,     -92,    -210,     -13,       0,       0,      23,      72,       0,     -52,      -1,     -24,    -158,    -163,     -43,     -38,  100.0,   21.0,   61.1,    3.1,    0.0,    0.0,   12.6,    1.7,    0.0,    7.7,    3.4,    4.5,   48.9,   70.7,   51.1,   29.3,  100.0,   21.3,   62.1,    3.2,    0.0,    0.0,   12.8,    1.7,    0.0,    9.4,    3.5,    3.0,   49.7,   70.3,   50.3,   29.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   96.9,    0.0,    0.0,   96.9,  100.0,    3.1,     22,      5,      9,.,      0,      0,      4,.,      0,      4,.,.,     15,     13,     22,      5,      9,.,      0,      0,      4,.,      0,      4,.,.,     15,     13,.,      0,      0,      0,      0,      0,      0,      0,      0,      0,.,      0,      0,.,    26.0,    50.7,    38.7,    61.9,    17.0,    46.2,    27.9,    54.0,    26.4,    51.5,    39.3,    62.5,    17.3,    46.9,    29.0,    54.8,     0.0,    96.9,     0.0,    96.9,     0.0,    96.9,     0.0,    96.9,"(CONTRACTS OF 5,000 BUSHELS)","004603","CBT ","004 ","A10","FutOnly"
"SOYBEANS - CHICAGO BOARD OF TRADE",230815,2023-08-15,005602,CBT ,00,005 ,  638785,  225744,  360199,  110446,   19640,   12291,   92768,   43578,   73486,   45331,   29188,   35663,  595729,  574045,   43056,   64740,  614221,  218531,  349512,  110075,   20746,   10174,   94624,   46543,   64655,   43153,   29298,   32086,  573298,  553014,   40923,   61207,   24564,    7213,   10687,    2395,     918,      93,    6973,    5864,       2,    4126,    1838,    1629,   22431,   21031,    2133,    3533,   10603,   17375,   -5584,   -1731,    1225,     227,   -9611,    4176,   10989,   -2405,    1938,   -4372,   10472,    8599,     131,    2004,  100.0,   35.3,   56.4,   17.3,    3.1,    1.9,   14.5,    6.8,   11.5,    7.1,    4.6,    5.6,   93.3,   89.9,    6.7,   10.1,  100.0,   35.6,   56.9,   17.9,    3.4,    1.7,   15.4,    7.6,   10.5,    7.0,    4.8,    5.2,   93.3,   90.0,    6.7,   10.0,  100.0,   29.4,   43.5,    9.8,    3.7,    0.4,   28.4,   23.9,    0.0,   16.8,    7.5,    6.6,   91.3,   85.6,    8.7,   14.4,    505,    129,    193,     21,     14,     22,     66,     42,     71,     57,     67,     65,    370,    396,    503,    128,    191,     20,     15,     20,     67,     41,     70,     56,     70,     63,    367,    390,    186,     20,     97,      8,     10,.,     13,      6,.,     11,     27,      8,     59,    144,    12.9,    16.2,    21.4,    26.6,    12.1,    14.8,    18.7,    21.4,    13.4,    16.7,    21.6,    27.2,    12.9,    15.3,    19.7,    22.0,    42.8,    32.4,    62.8,    49.0,    42.8,    30.8,    61.6,    45.7,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 ","A30","FutOnly"
"MINI SOYBEANS - CHICAGO BOARD OF TRADE",230815,2023-08-15,005603,CBT ,00,005 ,   21320,       2,    9061,       0,       0,       0,       0,       0,       0,   13254,     541,     434,   13690,   10036,    7630,   11284,   19497,       2,    7589,       0,       0,       0,       0,       0,       0,   12427,     541,     433,   12862,    8563,    6635,   10934,    1823,       0,    1472,       0,       0,       0,       0,       0,       0,     827,       0,       1,     828,    1473,     995,     350,      84,       0,    -132,       0,       0,       0,       0,       0,       0,     592,     166,    -101,     491,     -67,    -407,     151,  100.0,    0.0,   42.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   62.2,    2.5,    2.0,   64.2,   47.1,   35.8,   52.9,  100.0,    0.0,   38.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   63.7,    2.8,    2.2,   66.0,   43.9,   34.0,   56.1,  100.0,    0.0,   80.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   45.4,    0.0,    0.1,   45.4,   80.8,   54.6,   19.2,     22,.,     14,      0,      0,      0,      0,      0,      0,      6,.,      6,      9,     20,     22,.,     14,      0,      0,      0,      0,      0,      0,      6,.,      6,      9,     20,     14,      0,     12,      0,      0,      0,      0,      0,      0,.,      0,.,.,     13,    60.4,    29.7,    64.2,    37.3,    59.5,    29.6,    62.2,    36.8,    61.8,    25.3,    66.0,    33.4,    60.8,    25.2,    63.7,    32.9,    45.4,    78.9,    45.4,    80.2,    45.4,    78.9,    45.4,    80.2,"(Contracts of 1,000 Bushels)","005603","CBT ","005 ","A30","FutOnly"
"NJ SRECS - ICE FUTURES ENERGY DIV",230815,2023-08-15,0063CC,IFED,01,006 ,   91383,   56436,   81737,    4697,       0,     700,       0,       0,       0,   27310,    6706,    2240,   91383,   91383,       0,       0,   91383,   56436,   81737,    4697,       0,     700,       0,       0,       0,   27310,    6706,    2240,   91383,   91383,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   61.8,   89.4,    5.1,    0.0,    0.8,    0.0,    0.0,    0.0,   29.9,    7.3,    2.5,  100.0,  100.0,    0.0,    0.0,  100.0,   61.8,   89.4,    5.1,    0.0,    0.8,    0.0,    0.0,    0.0,   29.9,    7.3,    2.5,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     28,     15,      7,.,      0,.,      0,      0,      0,      6,.,      4,     23,     15,     28,     15,      7,.,      0,.,      0,      0,      0,      6,.,      4,     23,     15,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    51.5,    95.3,    74.6,    98.4,    50.6,    92.4,    73.0,    92.8,    51.5,    95.3,    74.6,    98.4,    50.6,    92.4,    73.0,    92.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 ","N60","FutOnly"
"PJM TRI-RECs CLASS 1  - ICE FUTURES ENERGY DIV",230815,2023-08-15,0063CH,IFED,01,006 ,  192379,  132211,  139167,   11706,   16849,    2219,   10456,       0,    7842,   22337,   20707,    5595,  192366,  192379,      13,       0,  192379,  132211,  139167,   11706,   16849,    2219,   10456,       0,    7842,   22337,   20707,    5595,  192366,  192379,      13,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -574,    -282,    1024,    -336,    -250,       0,    1324,       0,    -643,    -445,       0,    -205,    -587,     -74,      13,    -500,  100.0,   68.7,   72.3,    6.1,    8.8,    1.2,    5.4,    0.0,    4.1,   11.6,   10.8,    2.9,  100.0,  100.0,    0.0,    0.0,  100.0,   68.7,   72.3,    6.1,    8.8,    1.2,    5.4,    0.0,    4.1,   11.6,   10.8,    2.9,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     46,     18,     20,.,.,.,.,      0,.,      8,      5,      6,     36,     30,     46,     18,     20,.,.,.,.,      0,.,      8,      5,      6,     36,     30,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    51.2,    53.5,    73.1,    78.6,    46.9,    52.2,    66.9,    71.6,    51.2,    53.5,    73.1,    78.6,    46.9,    52.2,    66.9,    71.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063CH","IFED","006 ","N60","FutOnly"
"CALIF LOW CARBON FSC-OPIS  - ICE FUTURES ENERGY DIV",230815,2023-08-15,0063CU,IFED,01,006 ,   28714,    7413,   18444,    5826,    3239,     734,    6951,       0,    2560,    3724,    2256,    1481,   28689,   28714,      25,       0,   28714,    7413,   18444,    5826,    3239,     734,    6951,       0,    2560,    3724,    2256,    1481,   28689,   28714,      25,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -2290,     649,   -3150,      -5,     329,      24,   -3754,       0,     405,     350,      30,      72,   -2259,   -2290,     -31,       0,  100.0,   25.8,   64.2,   20.3,   11.3,    2.6,   24.2,    0.0,    8.9,   13.0,    7.9,    5.2,   99.9,  100.0,    0.1,    0.0,  100.0,   25.8,   64.2,   20.3,   11.3,    2.6,   24.2,    0.0,    8.9,   13.0,    7.9,    5.2,   99.9,  100.0,    0.1,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     33,      7,      6,.,.,.,      6,      0,.,     12,.,.,     30,     14,     33,      7,      6,.,.,.,      6,      0,.,     12,.,.,     30,     14,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    56.9,    71.1,    74.0,    93.6,    44.4,    54.8,    56.1,    66.5,    56.9,    71.1,    74.0,    93.6,    44.4,    54.8,    56.1,    66.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 LCFS Credits- each of 1 MT","0063CU","IFED","006 ","N60","FutOnly"
